candidate_id,canonical_candidate_id,model_kind,phase,reason,global_features,cluster_0_additions,cluster_1_additions
seed_v0,baseline_v0_calibration,exact,seed,already_evaluated,A_d_E_SAR_diff_kobs30;A_d_LST_modis_kobs30;A_d_s2_b11_kobs30;A_grad_E_SAR_diff_kobs30;A_grad_LST_modis_kobs30;A_grad_s2_b11_kobs30;C_lag_F_NDVI_kobs30;D_sa_F_NDMI;D_sa_LST_modis;D_z_E_SAR_ratio;E_SAR_ratio;F_MSI;J_aspect_deg;J_bio_bio15;K_aspect_cos;K_aspect_sin;V_ema_F_NDVI_kobs30;V_ema_LST_modis_kobs30;V_rollmax_G_API_kobs7;V_rollmean_F_NDMI_kobs30;V_rollmin_s2_b12_kobs30;V_rollrng_F_NDVI_kobs30;aspect;latitude;lia_std_asc_deg;s2_b8;slope;A_grad_LST_modis_kobs14;V_rollmax_E_SAR_ratio_kobs7;A_d_LST_modis_kobs14;J_clay_wfrac_b100;V_ema_G_API_kobs30;V_rollmin_G_API_kobs14;V_rollrng_LST_modis_kobs30;V_rollrng_G_API_kobs30;C_lag_F_NDMI_kobs30;V_rollrng_E_SAR_ratio_kobs30;J_bio_bio02;V_rollmax_E_SAR_ratio_kobs30;V_rollmax_G_API_kobs30;s2_b11;V_rollrng_F_NDVI_kobs14,,
seed_legacy_8_2_forced_bypass,baseline_v0_calibration,exact,seed,already_evaluated,A_d_E_SAR_diff_kobs30;A_d_LST_modis_kobs30;A_d_s2_b11_kobs30;A_grad_E_SAR_diff_kobs30;A_grad_LST_modis_kobs30;A_grad_s2_b11_kobs30;C_lag_F_NDVI_kobs30;D_sa_F_NDMI;D_sa_LST_modis;D_z_E_SAR_ratio;E_SAR_ratio;F_MSI;J_aspect_deg;J_bio_bio15;K_aspect_cos;K_aspect_sin;V_ema_F_NDVI_kobs30;V_ema_LST_modis_kobs30;V_rollmax_G_API_kobs7;V_rollmean_F_NDMI_kobs30;V_rollmin_s2_b12_kobs30;V_rollrng_F_NDVI_kobs30;aspect;latitude;lia_std_asc_deg;s2_b8;slope;A_grad_LST_modis_kobs14;V_rollmax_E_SAR_ratio_kobs7;A_d_LST_modis_kobs14;J_clay_wfrac_b100;V_ema_G_API_kobs30;V_rollmin_G_API_kobs14;V_rollrng_LST_modis_kobs30;V_rollrng_G_API_kobs30;C_lag_F_NDMI_kobs30;V_rollrng_E_SAR_ratio_kobs30;J_bio_bio02;V_rollmax_E_SAR_ratio_kobs30;V_rollmax_G_API_kobs30;s2_b11;V_rollrng_F_NDVI_kobs14,,
seed_local_mi300_repaired,seed_local_mi300,exact,seed,duplicate_in_batch,A_d_E_SAR_diff_kobs30;A_d_E_SAR_ratio_kobs30;A_grad_E_SAR_diff_kobs30;A_grad_E_SAR_ratio_kobs30;C_lag_F_NDVI_kobs30;C_lag_LST_modis_kobs30;DOY;D_sin_DOY;G_rain_sum_7d;J_aspect_deg;J_bio_bio07;V_rollmin_LST_modis_kobs30;V_rollrng_F_NDMI_kobs30;V_rollrng_G_API_kobs7;slope;API_x_year;A_d_F_NDMI_kobs30;A_grad_F_NDMI_kobs30;V_rollmax_F_NDVI_kobs30;V_ema_LST_modis_kobs30;s2_b8;C_lag_LST_modis_kobs12,,
round_03_drop_V_rollmax_G_API_kobs30,round_02_drop_cos_year,proxy,round_3_proxy,already_evaluated,longitude;precip_mm;s2_b4;s2_b8;elev;slope;DOY;D_sin_DOY;D_cos_DOY;E_SAR_ratio;G_API;G_DSLR;G_rain_sum_3d;G_rain_sum_7d;V_rollrng_G_API_kobs14;A_d_E_SAR_ratio_kobs30;V_rollmax_E_SAR_ratio_kobs7;V_rollmin_LST_modis_kobs30;V_rollmax_LST_modis_kobs30;V_ema_LST_modis_kobs30;C_lag_LST_modis_kobs30;V_rollmax_F_NDVI_kobs14;V_rollrng_F_NDVI_kobs30;V_rollmin_F_NDVI_kobs30;V_rollmax_F_NDVI_kobs30;V_ema_F_NDVI_kobs30;C_lag_F_NDVI_kobs30;A_d_E_SAR_diff_kobs30;A_d_s2_b11_kobs30;V_rollrng_s2_b11_kobs30;V_rollmin_s2_b11_kobs30;A_grad_s2_b12_kobs7;V_rollmin_s2_b12_kobs30;E_rough_s1_vh_kobs14;lia_mean_asc_deg;J_aspect_deg;J_bio_bio02;J_bio_bio04;J_bio_bio06;J_bio_bio07;J_bio_bio13;J_bio_bio14;J_lc_code;J_soil_texture_usda_b0;sin_year;API_x_year;D_z_F_NDMI;D_z_LST_modis;D_fft_dom_LST_modis_kobs30;D_fft_ent_LST_modis_kobs30,,
round_03_drop_API_x_year,round_01_swap_cos_year_for_V_rollmax_G_API_kobs30,proxy,round_3_proxy,already_evaluated,longitude;precip_mm;s2_b4;s2_b8;elev;slope;DOY;D_sin_DOY;D_cos_DOY;E_SAR_ratio;G_API;G_DSLR;G_rain_sum_3d;G_rain_sum_7d;V_rollrng_G_API_kobs14;V_rollmax_G_API_kobs30;A_d_E_SAR_ratio_kobs30;V_rollmax_E_SAR_ratio_kobs7;V_rollmin_LST_modis_kobs30;V_rollmax_LST_modis_kobs30;V_ema_LST_modis_kobs30;C_lag_LST_modis_kobs30;V_rollmax_F_NDVI_kobs14;V_rollrng_F_NDVI_kobs30;V_rollmin_F_NDVI_kobs30;V_rollmax_F_NDVI_kobs30;V_ema_F_NDVI_kobs30;C_lag_F_NDVI_kobs30;A_d_E_SAR_diff_kobs30;A_d_s2_b11_kobs30;V_rollrng_s2_b11_kobs30;V_rollmin_s2_b11_kobs30;A_grad_s2_b12_kobs7;V_rollmin_s2_b12_kobs30;E_rough_s1_vh_kobs14;lia_mean_asc_deg;J_aspect_deg;J_bio_bio02;J_bio_bio04;J_bio_bio06;J_bio_bio07;J_bio_bio13;J_bio_bio14;J_lc_code;J_soil_texture_usda_b0;sin_year;D_z_F_NDMI;D_z_LST_modis;D_fft_dom_LST_modis_kobs30;D_fft_ent_LST_modis_kobs30,,
round_04_drop_V_rollmin_F_NDMI_kobs30,round_02_swap_cos_year_for_V_rollmax_G_API_kobs30,proxy,round_4_proxy,already_evaluated,longitude;precip_mm;s2_b4;s2_b8;elev;slope;DOY;D_sin_DOY;D_cos_DOY;E_SAR_ratio;G_API;G_DSLR;G_rain_sum_3d;G_rain_sum_7d;V_rollrng_G_API_kobs14;V_rollmax_G_API_kobs30;A_d_E_SAR_ratio_kobs30;V_rollmax_E_SAR_ratio_kobs7;V_rollmin_LST_modis_kobs30;V_rollmax_LST_modis_kobs30;V_ema_LST_modis_kobs30;C_lag_LST_modis_kobs30;V_rollmax_F_NDVI_kobs14;V_rollrng_F_NDVI_kobs30;V_rollmin_F_NDVI_kobs30;V_rollmax_F_NDVI_kobs30;V_ema_F_NDVI_kobs30;C_lag_F_NDVI_kobs30;A_d_E_SAR_diff_kobs30;A_d_s2_b11_kobs30;V_rollrng_s2_b11_kobs30;V_rollmin_s2_b11_kobs30;A_grad_s2_b12_kobs7;V_rollmin_s2_b12_kobs30;E_rough_s1_vh_kobs14;lia_mean_asc_deg;J_aspect_deg;J_bio_bio02;J_bio_bio04;J_bio_bio06;J_bio_bio07;J_bio_bio13;J_bio_bio14;J_lc_code;J_soil_texture_usda_b0;sin_year;API_x_year;D_z_F_NDMI;D_z_LST_modis;D_fft_dom_LST_modis_kobs30;D_fft_ent_LST_modis_kobs30,,
round_05_drop_V_rollmin_F_NDMI_kobs30,round_03_drop_V_rollrng_s2_b11_kobs30,proxy,round_5_proxy,already_evaluated,longitude;precip_mm;s2_b4;s2_b8;elev;slope;DOY;D_sin_DOY;D_cos_DOY;E_SAR_ratio;G_API;G_DSLR;G_rain_sum_3d;G_rain_sum_7d;V_rollrng_G_API_kobs14;V_rollmax_G_API_kobs30;A_d_E_SAR_ratio_kobs30;V_rollmax_E_SAR_ratio_kobs7;V_rollmin_LST_modis_kobs30;V_rollmax_LST_modis_kobs30;V_ema_LST_modis_kobs30;C_lag_LST_modis_kobs30;V_rollmax_F_NDVI_kobs14;V_rollrng_F_NDVI_kobs30;V_rollmin_F_NDVI_kobs30;V_rollmax_F_NDVI_kobs30;V_ema_F_NDVI_kobs30;C_lag_F_NDVI_kobs30;A_d_E_SAR_diff_kobs30;A_d_s2_b11_kobs30;V_rollmin_s2_b11_kobs30;A_grad_s2_b12_kobs7;V_rollmin_s2_b12_kobs30;E_rough_s1_vh_kobs14;lia_mean_asc_deg;J_aspect_deg;J_bio_bio02;J_bio_bio04;J_bio_bio06;J_bio_bio07;J_bio_bio13;J_bio_bio14;J_lc_code;J_soil_texture_usda_b0;sin_year;API_x_year;D_z_F_NDMI;D_z_LST_modis;D_fft_dom_LST_modis_kobs30;D_fft_ent_LST_modis_kobs30,,
round_06_drop_V_rollmin_E_SAR_diff_kobs30,round_05_drop_E_rough_s1_vh_kobs14,proxy,round_6_proxy,already_evaluated,longitude;precip_mm;s2_b4;s2_b8;elev;slope;DOY;D_sin_DOY;D_cos_DOY;E_SAR_ratio;G_API;G_DSLR;G_rain_sum_3d;G_rain_sum_7d;V_rollrng_G_API_kobs14;V_rollmax_G_API_kobs30;V_rollmin_F_NDMI_kobs30;A_d_E_SAR_ratio_kobs30;V_rollmax_E_SAR_ratio_kobs7;V_rollmin_LST_modis_kobs30;V_rollmax_LST_modis_kobs30;V_ema_LST_modis_kobs30;C_lag_LST_modis_kobs30;V_rollmax_F_NDVI_kobs14;V_rollrng_F_NDVI_kobs30;V_rollmin_F_NDVI_kobs30;V_rollmax_F_NDVI_kobs30;V_ema_F_NDVI_kobs30;C_lag_F_NDVI_kobs30;A_d_E_SAR_diff_kobs30;A_d_s2_b11_kobs30;V_rollmin_s2_b11_kobs30;A_grad_s2_b12_kobs7;V_rollmin_s2_b12_kobs30;lia_mean_asc_deg;J_aspect_deg;J_bio_bio02;J_bio_bio04;J_bio_bio06;J_bio_bio07;J_bio_bio13;J_bio_bio14;J_lc_code;J_soil_texture_usda_b0;sin_year;API_x_year;D_z_F_NDMI;D_z_LST_modis;D_fft_dom_LST_modis_kobs30;D_fft_ent_LST_modis_kobs30,,
global_backbone_for_deltas,round_06_swap_D_fft_ent_LST_modis_kobs30_for_V_rollmax_E_SAR_ratio_kobs30_exact,exact,final_grid,backbone_reference,longitude;precip_mm;s2_b4;s2_b8;elev;slope;DOY;D_sin_DOY;D_cos_DOY;E_SAR_ratio;G_API;G_DSLR;G_rain_sum_3d;G_rain_sum_7d;V_rollrng_G_API_kobs14;V_rollmax_G_API_kobs30;V_rollmin_F_NDMI_kobs30;A_d_E_SAR_ratio_kobs30;V_rollmax_E_SAR_ratio_kobs7;V_rollmax_E_SAR_ratio_kobs30;V_rollmin_LST_modis_kobs30;V_rollmax_LST_modis_kobs30;V_ema_LST_modis_kobs30;C_lag_LST_modis_kobs30;V_rollmax_F_NDVI_kobs14;V_rollrng_F_NDVI_kobs30;V_rollmin_F_NDVI_kobs30;V_rollmax_F_NDVI_kobs30;V_ema_F_NDVI_kobs30;C_lag_F_NDVI_kobs30;A_d_E_SAR_diff_kobs30;V_rollmin_E_SAR_diff_kobs30;A_d_s2_b11_kobs30;V_rollmin_s2_b11_kobs30;A_grad_s2_b12_kobs7;V_rollmin_s2_b12_kobs30;lia_mean_asc_deg;J_aspect_deg;J_bio_bio02;J_bio_bio04;J_bio_bio06;J_bio_bio07;J_bio_bio13;J_bio_bio14;J_lc_code;J_soil_texture_usda_b0;sin_year;API_x_year;D_z_F_NDMI;D_z_LST_modis;D_fft_dom_LST_modis_kobs30,,
delta_c0_0_c1_0,round_06_swap_D_fft_ent_LST_modis_kobs30_for_V_rollmax_E_SAR_ratio_kobs30_exact,exact,final_grid,already_evaluated,longitude;precip_mm;s2_b4;s2_b8;elev;slope;DOY;D_sin_DOY;D_cos_DOY;E_SAR_ratio;G_API;G_DSLR;G_rain_sum_3d;G_rain_sum_7d;V_rollrng_G_API_kobs14;V_rollmax_G_API_kobs30;V_rollmin_F_NDMI_kobs30;A_d_E_SAR_ratio_kobs30;V_rollmax_E_SAR_ratio_kobs7;V_rollmax_E_SAR_ratio_kobs30;V_rollmin_LST_modis_kobs30;V_rollmax_LST_modis_kobs30;V_ema_LST_modis_kobs30;C_lag_LST_modis_kobs30;V_rollmax_F_NDVI_kobs14;V_rollrng_F_NDVI_kobs30;V_rollmin_F_NDVI_kobs30;V_rollmax_F_NDVI_kobs30;V_ema_F_NDVI_kobs30;C_lag_F_NDVI_kobs30;A_d_E_SAR_diff_kobs30;V_rollmin_E_SAR_diff_kobs30;A_d_s2_b11_kobs30;V_rollmin_s2_b11_kobs30;A_grad_s2_b12_kobs7;V_rollmin_s2_b12_kobs30;lia_mean_asc_deg;J_aspect_deg;J_bio_bio02;J_bio_bio04;J_bio_bio06;J_bio_bio07;J_bio_bio13;J_bio_bio14;J_lc_code;J_soil_texture_usda_b0;sin_year;API_x_year;D_z_F_NDMI;D_z_LST_modis;D_fft_dom_LST_modis_kobs30,,
